player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
C. Carroll,4,2,2,0,0,1,1,.333,.425,.698
G. Perdomo,1,0,0,0,0,3,0,.333,.448,.490
P. Smith,3,0,1,0,0,0,1,.361,.439,.611
R. Grichuk,0,0,0,0,0,1,0,.250,.333,.458
A. Thomas,1,0,1,2,0,0,0,.344,.389,.531
J. Naylor,5,1,2,1,0,0,2,.322,.397,.475
L. Gurriel Jr.,3,0,0,0,0,1,0,.145,.183,.291
J. Martinez,0,0,0,0,0,0,0,.000,.000,.000
A.J. Puk,0,0,0,0,0,0,0,.000,.000,.000
E. Suarez,4,0,0,0,0,0,2,.145,.277,.455
J. McCarthy,2,0,0,0,0,1,0,.091,.184,.121
T. Tawa,3,2,1,1,0,0,1,.214,.250,.286
J. Herrera,3,0,0,0,0,0,0,.176,.222,.353
