player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
M. Harris,4,0,0,1,0,0,1,.225,.233,.350
O. Albies,5,0,1,0,0,0,1,.200,.250,.311
M. Ozuna,4,0,2,0,0,1,1,.273,.500,.394
S. Fairchild,0,0,0,0,0,0,0,.200,.200,.600
M. Olson,3,0,0,0,0,2,1,.211,.375,.368
A. Riley,5,1,2,1,1,0,1,.200,.250,.400
S. Murphy,3,1,1,0,0,1,1,.429,.556,.857
B. De La Cruz,4,0,2,0,0,0,0,.231,.286,.231
E. White,0,0,0,0,0,0,0,.200,.200,.200
J. Kelenic,3,1,0,0,0,1,0,.167,.265,.267
O. Arcia,4,0,2,1,0,0,1,.250,.286,.300
N. Allen,0,0,0,0,0,0,0,.278,.316,.333
