player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Holliday,5,1,2,3,1,0,0,.269,.329,.425
R. O'Hearn,4,0,0,0,0,1,1,.294,.387,.504
G. Henderson,5,0,1,0,0,0,3,.257,.298,.454
A. Rutschman,4,1,1,0,0,0,1,.215,.308,.349
C. Mullins,4,0,0,0,0,0,1,.220,.324,.427
R. Urias,4,1,1,1,0,0,0,.268,.337,.366
H. Kjerstad,4,1,2,0,0,0,0,.219,.272,.362
R. Laureano,4,1,2,1,0,0,1,.250,.312,.512
M. Handley,2,0,0,0,0,0,0,.071,.125,.071
C. Perez,0,0,0,0,0,0,0,.000,.000,.000
E. Rivera,1,0,0,0,0,0,0,.324,.378,.382
Y. Cano,0,0,0,0,0,0,0,.000,.000,.000
S. Dominguez,0,0,0,0,0,0,0,.000,.000,.000
J. Mateo,1,1,1,1,0,0,0,.171,.194,.229
