player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Duran,5,3,2,2,0,0,1,.217,.245,.283
R. Refsnyder,1,0,0,0,0,0,0,.500,.571,.500
R. Devers,4,4,4,3,0,1,0,.263,.404,.421
C. Wong,1,0,0,0,0,0,0,.087,.192,.087
A. Bregman,5,2,4,6,1,0,0,.341,.383,.591
T. Casas,1,0,0,0,0,0,0,.167,.211,.306
W. Abreu,6,0,2,3,0,0,2,.483,.595,.897
T. Story,4,1,1,0,0,0,0,.250,.289,.444
D. Hamilton,2,0,0,0,0,0,1,.091,.091,.091
K. Campbell,4,1,1,0,0,1,0,.364,.476,.667
R. Gonzalez,5,2,2,0,0,0,1,.545,.583,.727
C. Narvaez,4,2,2,1,0,1,0,.429,.556,.643
C. Rafaela,4,3,3,2,0,1,0,.200,.273,.200
