player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Duran,5,0,1,1,0,0,2,.253,.298,.376
R. Devers,5,1,2,1,0,0,2,.278,.395,.473
A. Bregman,4,1,3,1,1,1,0,.314,.392,.589
R. Refsnyder,2,0,0,1,0,0,2,.308,.326,.538
W. Abreu,1,0,0,0,0,0,0,.279,.373,.551
K. Campbell,4,0,0,0,0,0,3,.246,.337,.408
T. Story,4,0,0,0,0,0,2,.234,.277,.353
N. Sogard,4,1,1,0,0,0,0,.222,.263,.278
C. Narvaez,3,1,2,0,0,1,1,.271,.328,.439
D. Hamilton,0,0,0,0,0,0,0,.204,.246,.333
C. Wong,0,0,0,0,0,0,0,.146,.239,.146
C. Rafaela,4,1,2,1,0,0,2,.250,.304,.375
