player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
I. Happ,5,2,3,4,1,0,1,.253,.333,.358
K. Tucker,5,2,3,2,1,0,0,.318,.419,.636
S. Suzuki,5,1,1,1,1,0,1,.284,.372,.541
M. Busch,5,0,3,1,0,0,1,.306,.375,.583
D. Swanson,5,0,1,0,0,0,1,.170,.221,.341
N. Hoerner,4,2,2,0,0,0,0,.324,.372,.380
P. Crow-Armstrong,4,3,2,0,0,1,1,.271,.326,.482
C. Kelly,4,3,2,5,2,1,0,.419,.578,1.097
V. Brujan,3,0,1,0,0,0,2,.333,.333,.667
G. Workman,0,0,0,0,0,0,0,.273,.333,.364
J. Turner,1,0,0,0,0,0,1,.147,.286,.147
J. Berti,0,0,0,0,0,0,0,.238,.360,.238
