player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
I. Happ,6,1,1,1,0,0,3,.265,.358,.373
S. Suzuki,5,3,3,4,1,1,0,.253,.310,.533
K. Tucker,4,2,3,1,1,1,1,.268,.381,.532
M. Busch,1,0,1,2,0,0,0,.260,.360,.474
C. Kelly,6,1,2,0,0,0,1,.289,.417,.588
D. Swanson,4,1,2,1,0,0,1,.262,.320,.471
V. Brujan,1,0,0,0,0,0,0,.278,.278,.389
P. Crow-Armstrong,5,2,2,1,0,0,0,.285,.319,.565
N. Hoerner,4,1,1,2,0,0,1,.292,.333,.365
J. Berti,1,1,1,0,0,0,0,.224,.280,.250
J. Turner,4,1,3,1,0,0,0,.203,.310,.232
M. Shaw,5,1,2,1,0,0,0,.209,.312,.299
