player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
N. Maton,4,0,0,0,0,0,1,.154,.313,.615
L. Robert Jr.,4,0,1,0,0,0,1,.190,.217,.238
A. Benintendi,4,0,1,0,0,0,2,.333,.391,.619
M. Vargas,4,0,1,0,0,0,1,.190,.292,.238
M. Thaiss,3,0,1,0,0,0,0,.250,.438,.333
A. Slater,1,0,0,0,0,0,0,.222,.222,.556
B. Baldwin,3,1,1,1,1,0,0,.357,.333,.571
L. Sosa,1,0,0,0,0,0,0,.235,.235,.471
T. Jankowski,3,0,1,0,0,0,0,.182,.182,.182
K. Lee,1,0,0,0,0,0,0,.143,.250,.143
M. Taylor,3,0,0,0,0,1,1,.250,.308,.500
J. Amaya,3,0,0,0,0,0,1,.067,.067,.067
