player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
M. Vargas,4,0,0,0,0,0,2,.250,.250,.375
L. Robert Jr.,4,0,0,0,0,0,2,.125,.125,.250
A. Benintendi,2,0,1,0,0,2,0,.333,.500,.833
A. Vaughn,4,0,0,0,0,0,0,.000,.000,.000
N. Maton,3,0,0,0,0,0,0,.000,.250,.000
L. Sosa,3,0,0,0,0,0,1,.143,.143,.571
M. Thaiss,1,0,0,0,0,2,0,.000,.667,.000
M. Taylor,0,0,0,0,0,0,0,.333,.333,.333
J. Amaya,2,0,0,0,0,0,1,.167,.167,.167
T. Jankowski,1,0,0,0,0,0,0,.000,.000,.000
K. Lee,0,0,0,0,0,0,0,.333,.500,.333
B. Baldwin,3,0,1,0,0,0,1,.333,.333,.333
