player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
C. Meidroth,4,1,3,1,1,0,0,.286,.375,.351
M. Vargas,3,0,0,1,0,0,1,.237,.318,.397
E. Quero,4,0,0,0,0,0,1,.278,.367,.316
L. Robert Jr.,4,0,0,0,0,0,2,.176,.276,.297
A. Vaughn,4,0,1,0,0,0,2,.186,.217,.320
L. Sosa,3,0,0,0,0,0,1,.261,.280,.366
M. Thaiss,1,0,0,0,0,0,1,.211,.371,.303
T. Elko,2,1,1,1,1,1,1,.176,.222,.529
J. Rojas,1,0,0,0,0,0,0,.182,.270,.182
J. Palacios,3,0,0,0,0,0,1,.200,.310,.267
M. Taylor,2,1,1,0,0,0,1,.205,.263,.364
B. Baldwin,1,0,0,0,0,0,1,.220,.257,.339
