player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Doyle,5,2,4,5,1,0,1,.321,.357,.547
Z. Veen,5,0,1,1,0,0,0,.167,.231,.250
K. Farmer,4,0,1,0,0,1,1,.303,.351,.394
R. McMahon,4,1,2,0,0,0,1,.295,.360,.477
N. Martini,2,0,0,0,0,0,0,.318,.400,.318
S. Bouchard,1,1,0,0,0,1,1,.154,.389,.385
M. Toglia,4,1,3,1,0,0,0,.191,.240,.255
T. Freeman,3,0,0,0,0,1,0,.091,.313,.091
M. Moniak,2,2,1,0,0,2,0,.263,.391,.632
J. Stallings,2,0,0,0,0,0,2,.118,.167,.118
K. Bryant,1,0,0,0,0,0,1,.188,.235,.250
H. Goodman,0,0,0,0,0,0,0,.237,.310,.474
