player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
G. Torres,2,1,1,1,1,1,0,.429,.500,.857
J. Baez,2,0,0,0,0,0,1,.000,.000,.000
K. Carpenter,3,0,1,0,0,0,1,.250,.200,.250
M. Margot,2,0,1,1,0,0,1,.600,.500,.600
R. Greene,5,1,2,0,0,0,1,.300,.300,.400
S. Torkelson,5,0,2,0,0,0,2,.500,.700,1.167
C. Keith,2,0,0,0,0,1,2,.000,.125,.000
A. Ibanez,1,0,0,0,0,1,0,.000,.143,.000
Z. McKinstry,3,1,0,0,0,2,2,.250,.571,.750
D. Dingler,5,1,2,3,1,0,2,.400,.400,1.400
T. Sweeney,5,0,1,0,0,0,1,.167,.167,.167
R. Kreidler,4,1,0,0,0,0,3,.167,.167,.167
