player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Malloy,3,0,0,0,0,0,0,.179,.351,.286
J. Jung,2,0,0,0,0,0,2,.091,.286,.091
T. Kahnle,0,0,0,0,0,0,0,.000,.000,.000
T. Owens,0,0,0,0,0,0,0,.000,.000,.000
G. Torres,3,1,3,1,1,1,0,.300,.360,.475
C. Keith,0,2,0,0,0,1,0,.181,.337,.250
R. Greene,3,1,1,0,0,1,1,.262,.313,.451
A. Ibanez,5,2,2,2,0,0,0,.229,.315,.375
S. Torkelson,5,1,1,2,1,0,0,.239,.353,.549
Z. McKinstry,5,1,1,1,0,0,3,.316,.405,.459
D. Dingler,5,1,3,3,1,0,1,.291,.299,.500
J. Baez,5,1,1,1,1,0,1,.291,.330,.430
T. Sweeney,4,0,1,0,0,0,2,.200,.296,.274
