player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Altuve,4,0,1,0,0,0,1,.302,.330,.419
I. Paredes,3,0,0,0,0,1,1,.231,.348,.359
Y. Alvarez,3,0,0,1,0,0,0,.206,.310,.338
J. Pena,4,0,1,0,0,0,1,.224,.302,.382
C. Walker,4,0,0,0,0,0,3,.156,.253,.260
C. McCormick,0,0,0,0,0,0,0,.200,.368,.200
Z. Dezenzo,0,0,0,0,0,0,0,.133,.188,.133
V. Caratini,4,0,1,0,0,0,2,.250,.344,.321
J. Meyers,4,1,2,0,0,0,1,.305,.354,.373
C. Smith,4,1,1,0,0,0,1,.232,.295,.429
M. Dubon,3,0,1,1,0,0,0,.179,.258,.250
Y. Diaz,1,0,0,0,0,0,1,.143,.182,.222
