player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Ohtani,3,0,1,0,0,0,0,.295,.403,.541
M. Rojas,1,0,0,0,0,0,0,.179,.207,.179
M. Betts,4,0,0,0,0,0,0,.286,.375,.490
F. Freeman,3,0,1,0,0,0,1,.222,.263,.611
E. Hernández,1,0,0,0,0,0,0,.100,.159,.400
T. Hernández,3,0,2,0,0,0,0,.300,.328,.600
C. Taylor,1,0,1,0,0,0,0,.250,.250,.250
M. Conforto,4,0,0,0,0,0,2,.200,.333,.422
T. Edman,3,0,0,0,0,0,1,.246,.277,.574
M. Muncy,3,0,1,0,0,0,1,.184,.231,.265
A. Pages,3,0,0,0,0,0,1,.149,.273,.298
A. Barnes,3,0,0,0,0,0,1,.000,.000,.000
