player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Ohtani,3,0,1,0,0,1,1,.294,.399,.571
M. Betts,3,1,0,0,0,1,1,.261,.350,.437
F. Freeman,4,0,1,0,0,0,1,.333,.415,.642
T. Hernández,4,1,1,0,0,0,0,.305,.323,.586
M. Muncy,4,0,1,2,0,0,1,.186,.311,.294
A. Pages,4,0,1,0,0,0,1,.269,.342,.472
H. Kim,0,0,0,0,0,0,0,.000,.000,.000
E. Hernández,3,0,0,0,0,0,1,.179,.243,.418
W. Smith,1,0,0,0,0,0,1,.318,.413,.494
M. Conforto,2,0,0,0,0,0,2,.141,.286,.242
M. Rojas,2,1,1,1,1,0,1,.265,.280,.367
A. Barnes,4,0,1,0,0,0,2,.250,.270,.333
