player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
X. Edwards,6,0,1,0,0,0,0,.317,.400,.354
J. Sánchez,4,1,1,0,0,1,0,.222,.300,.278
E. Wagaman,5,1,2,0,0,0,0,.273,.344,.455
K. Stowers,1,1,0,0,0,1,1,.284,.380,.403
D. Myers,3,2,2,3,1,0,0,.324,.342,.459
M. Mervis,3,1,0,0,0,1,0,.224,.304,.592
O. Lopez,2,0,0,0,0,0,0,.236,.321,.389
J. Sanoja,3,0,1,0,0,0,0,.306,.342,.333
G. Conine,3,0,1,2,0,0,1,.281,.352,.438
C. Norby,2,2,0,0,0,0,0,.182,.182,.182
G. Pauley,5,1,3,1,0,0,0,.231,.268,.327
L. Hicks,5,1,4,4,1,0,0,.250,.333,.364
