player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Turang,4,0,0,0,0,0,1,.333,.373,.435
J. Chourio,4,1,2,0,0,0,0,.257,.274,.487
C. Yelich,4,0,2,1,0,0,0,.228,.339,.424
W. Contreras,4,0,1,0,0,0,1,.244,.343,.367
S. Frelick,4,1,1,0,0,0,0,.309,.391,.423
R. Hoskins,4,0,2,0,0,0,1,.297,.398,.446
G. Mitchell,1,0,0,0,0,0,0,.206,.286,.294
I. Collins,2,0,1,0,0,1,0,.214,.267,.321
J. Ortiz,2,0,0,0,0,0,1,.172,.258,.184
J. Bauers,1,0,0,1,0,0,0,.267,.353,.500
V. Capra,1,0,0,0,0,0,0,.075,.140,.150
C. Durbin,4,0,0,0,0,0,1,.222,.300,.370
