player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
E. Julien,4,0,0,0,0,0,2,.202,.292,.333
B. Buxton,3,0,0,0,0,1,1,.238,.274,.486
C. Correa,4,0,1,0,0,0,2,.223,.270,.330
T. Larnach,4,0,0,0,0,0,0,.223,.314,.359
T. France,4,1,3,1,1,0,0,.267,.345,.410
D. Keirsey Jr.,0,0,0,0,0,0,0,.074,.074,.074
M. Gasper,0,0,0,0,0,0,0,.214,.333,.250
J. Bride,4,0,0,0,0,0,0,.389,.421,.389
B. Lee,3,0,1,0,0,0,0,.256,.333,.349
H. Bader,3,0,1,0,0,0,1,.244,.337,.385
C. Vazquez,3,0,1,0,0,0,1,.154,.209,.256
K. Clemens,0,0,0,0,0,0,0,1.000,1.000,2.000
R. Jeffers,0,0,0,0,0,0,0,.257,.353,.392
