player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Buxton,1,0,0,0,0,0,0,.077,.077,.077
E. Julien,3,0,0,0,0,0,1,.000,.000,.000
C. Correa,1,0,0,0,0,0,0,.000,.077,.000
D. Keirsey Jr.,3,0,0,0,0,0,2,.000,.000,.000
R. Jeffers,2,0,1,0,0,2,0,.200,.333,.200
M. Wallner,0,0,0,0,0,0,0,.091,.231,.182
T. France,3,0,0,0,0,0,2,.071,.133,.071
J. Miranda,4,0,0,0,0,0,2,.143,.143,.143
M. Gasper,2,0,0,0,0,2,1,.200,.429,.200
W. Castro,4,0,1,0,0,0,2,.357,.400,.786
H. Bader,4,0,0,0,0,0,2,.182,.182,.545
C. Vazquez,3,0,0,0,0,0,1,.000,.000,.000
