player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Lindor,3,0,1,0,0,1,0,.224,.281,.327
J. Soto,2,0,0,0,0,2,0,.265,.410,.408
P. Alonso,4,0,0,0,0,0,3,.347,.450,.714
B. Nimmo,4,1,1,1,1,0,0,.208,.259,.472
S. Marte,4,0,0,0,0,0,3,.192,.313,.346
M. Vientos,4,0,1,0,0,0,0,.120,.241,.160
B. Baty,4,0,1,0,0,0,2,.129,.129,.161
J. Siri,0,0,0,0,0,0,0,.050,.208,.100
T. Taylor,4,0,1,0,0,0,2,.167,.167,.167
H. Senger,2,0,1,0,0,0,0,.250,.286,.300
J. Winker,1,0,0,0,0,0,0,.200,.286,.400
L. Torrens,1,0,0,0,0,0,0,.269,.296,.500
