player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
P. Goldschmidt,3,3,2,1,1,1,0,.286,.444,.857
O. Cabrera,1,0,0,0,0,0,0,.250,.250,.250
C. Bellinger,5,3,3,4,1,0,0,.571,.500,1.000
A. Judge,6,4,4,8,3,0,0,.500,.500,1.600
B. Rice,0,0,0,0,0,0,0,.500,.667,.500
J. Chisholm Jr.,5,2,2,1,1,0,1,.250,.400,.625
A. Volpe,4,2,1,3,1,2,1,.250,.400,1.000
A. Wells,3,1,1,1,1,1,0,.333,.500,1.333
J.C. Escarra,2,0,0,0,0,0,1,.000,.000,.000
P. Reyes,3,0,0,0,0,1,0,.000,.250,.000
O. Peraza,1,1,1,2,1,0,0,1.000,1.000,4.000
J. Dominguez,3,1,1,0,0,2,1,.167,.375,.167
T. Grisham,4,3,1,0,0,1,1,.400,.500,.400
