player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
T. Grisham,4,1,0,0,0,2,0,.280,.374,.613
A. Judge,4,1,1,0,0,1,1,.396,.488,.743
P. Reyes,1,0,0,0,0,0,0,.150,.227,.150
B. Rice,5,1,2,1,0,0,1,.261,.358,.555
P. Goldschmidt,4,2,2,1,1,1,1,.345,.397,.486
O. Peraza,1,0,0,0,0,0,1,.195,.267,.317
J. Dominguez,4,3,3,7,3,0,1,.250,.339,.463
A. Volpe,4,0,1,0,0,1,1,.230,.316,.415
J.C. Escarra,4,1,2,0,0,1,0,.212,.325,.394
Y. De los Santos,0,0,0,0,0,0,0,.000,.000,.000
O. Cabrera,5,0,1,0,0,0,3,.245,.321,.306
J. Vivas,5,1,2,0,0,0,1,.200,.333,.267
