player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
L. Butler,5,1,1,0,0,0,2,.271,.358,.458
J. Wilson,5,1,1,1,0,0,0,.330,.337,.457
T. Soderstrom,4,0,2,2,0,0,0,.292,.355,.615
S. Langeliers,4,0,0,0,0,0,0,.238,.312,.464
J. Bleday,4,0,1,0,0,0,3,.218,.317,.333
S. Brown,2,0,1,0,0,0,1,.185,.313,.333
B. Rooker,1,0,0,0,0,1,1,.233,.288,.476
N. Kurtz,2,0,0,0,0,0,1,.167,.167,.167
M. Andujar,2,0,0,0,0,0,1,.310,.351,.423
G. Urshela,3,0,3,0,0,0,0,.233,.292,.367
M. Schuemann,0,1,0,0,0,1,0,.167,.211,.389
L. Urias,4,1,1,0,0,0,1,.258,.314,.452
