player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
T. Turner,5,0,1,0,0,0,2,.306,.366,.388
B. Harper,3,0,0,0,0,1,2,.232,.351,.419
K. Schwarber,4,1,1,0,0,0,0,.268,.401,.584
N. Castellanos,4,0,2,0,0,0,0,.280,.325,.420
J.T. Realmuto,4,1,2,1,0,0,0,.250,.329,.391
A. Bohm,4,0,2,0,0,0,0,.255,.296,.322
E. Sosa,2,0,1,1,0,0,0,.340,.385,.426
B. Stott,2,0,0,0,0,0,0,.259,.327,.385
W. Wilson,2,0,0,0,0,0,1,.250,.250,.500
M. Kepler,2,0,0,0,0,0,1,.229,.315,.405
J. Rojas,2,0,0,0,0,0,0,.276,.321,.368
B. Marsh,2,0,0,0,0,0,2,.186,.279,.288
