player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Bae,4,0,0,0,0,0,3,.000,.000,.000
A. McCutchen,1,0,0,0,0,0,1,.125,.222,.250
T. Pham,1,0,0,0,0,0,1,.111,.273,.222
B. Reynolds,5,1,2,0,0,1,0,.214,.313,.214
O. Cruz,2,1,0,0,0,4,1,.200,.500,.500
J. Bart,6,0,3,1,0,0,1,.333,.467,.333
J. Suwinski,5,0,1,1,0,1,0,.200,.333,.400
E. Valdez,0,0,0,0,0,0,0,.000,.000,.000
K. Hayes,5,1,0,0,0,0,0,.154,.154,.154
J. Triolo,4,0,0,0,0,0,1,.000,.000,.000
E. Rodriguez,1,0,0,0,0,0,0,.000,.222,.000
A. Frazier,5,1,1,1,0,0,2,.250,.300,.250
I. Kiner-Falefa,3,0,2,0,0,2,0,.333,.538,.333
