player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
O. Cruz,4,1,0,0,0,1,2,.238,.369,.462
L. Peguero,1,0,0,0,0,0,1,.143,.143,.143
B. Reynolds,4,0,0,0,0,0,2,.215,.276,.342
T. Pham,1,0,0,0,0,1,0,.181,.263,.219
A. McCutchen,4,0,0,0,0,1,0,.250,.344,.393
J. Bart,4,0,4,1,0,0,0,.286,.412,.378
J. Bae,0,1,0,0,0,0,0,.000,.000,.000
H. Davis,1,0,0,0,0,0,0,.129,.206,.226
K. Hayes,4,0,1,0,0,0,1,.248,.298,.305
M. Gorski,5,0,2,1,0,0,1,.222,.222,.407
A. Frazier,4,0,1,0,0,1,2,.223,.290,.304
A. Canario,4,0,1,0,0,1,1,.146,.226,.292
J. Triolo,3,0,0,0,0,1,0,.143,.214,.238
