player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Tatis Jr.,4,0,1,0,0,1,0,.354,.427,.646
L. Arraez,4,0,1,0,0,1,1,.280,.313,.400
M. Machado,4,1,1,1,1,0,2,.313,.387,.507
X. Bogaerts,4,0,0,0,0,0,1,.270,.365,.365
O. Gonzalez,2,0,1,0,0,0,1,.364,.364,.364
G. Sheets,2,0,0,0,0,0,1,.318,.367,.500
Y. Gurriel,3,0,0,0,0,1,0,.115,.207,.154
J. Iglesias,4,0,1,0,0,0,0,.303,.361,.394
J. Heyward,3,0,0,0,0,0,2,.190,.239,.286
C. Joe,1,0,0,0,0,0,1,.000,.000,.000
M. Maldonado,2,0,0,0,0,1,2,.250,.276,.357
E. Diaz,1,0,0,0,0,0,0,.226,.351,.258
