player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Tatis Jr.,4,2,3,0,0,0,1,.750,.750,.750
L. Arraez,2,0,0,1,0,0,0,.000,.000,.000
M. Machado,3,3,2,1,0,1,1,.667,.750,1.333
X. Bogaerts,3,0,1,0,0,1,1,.333,.500,.333
J. Merrill,3,0,1,4,0,0,0,.333,.250,.333
Y. Gurriel,4,0,0,0,0,0,1,.000,.000,.000
J. Cronenworth,4,0,0,0,0,0,2,.000,.000,.000
B. Lockridge,2,0,0,0,0,0,1,.000,.000,.000
G. Sheets,1,1,1,1,1,0,0,1.000,1.000,4.000
M. Maldonado,1,0,0,0,0,0,1,.000,.000,.000
E. Diaz,3,0,2,0,0,0,1,.667,.667,.667
J. Heyward,1,1,0,0,0,0,0,.000,.000,.000
