player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
F. Tatis Jr.,4,0,0,0,0,0,2,.296,.365,.542
B. Lockridge,0,0,0,0,0,0,0,.218,.271,.291
L. Arraez,4,0,2,0,0,0,0,.301,.337,.434
M. Machado,4,0,2,0,0,0,0,.314,.383,.453
J. Merrill,4,0,0,0,0,0,2,.345,.376,.552
X. Bogaerts,3,0,0,0,0,0,2,.242,.330,.354
J. Iglesias,1,0,0,0,0,0,0,.240,.291,.281
G. Sheets,4,0,0,0,0,0,2,.275,.325,.451
J. Cronenworth,3,0,0,0,0,0,1,.250,.382,.458
J. Heyward,3,0,0,0,0,0,1,.179,.226,.274
M. Maldonado,1,0,0,0,0,0,0,.185,.221,.292
E. Diaz,2,0,1,0,0,0,0,.242,.314,.368
