player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J. Rodriguez,4,2,1,2,0,1,2,.184,.322,.429
J. Polanco,3,0,0,0,0,0,0,.370,.393,.593
M. Garver,1,0,0,0,0,1,0,.143,.308,.143
C. Raleigh,5,0,0,0,0,0,2,.184,.286,.347
R. Arozarena,3,1,2,5,1,2,0,.191,.333,.468
L. Raley,3,0,0,0,0,1,1,.161,.297,.258
R. Tellez,2,0,0,0,0,0,0,.050,.130,.050
D. Solano,2,1,1,0,0,0,1,.111,.111,.111
D. Moore,2,0,0,0,0,0,0,.286,.375,.500
D. Canzone,1,0,0,0,0,0,0,.000,.000,.000
L. Rivas,1,0,0,0,0,0,0,.000,.000,.000
M. Mastrobuoni,4,2,2,0,0,0,0,.333,.429,.333
J.P. Crawford,3,1,1,0,0,1,0,.143,.348,.171
