player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
J.P. Crawford,4,1,2,1,1,1,0,.278,.385,.389
J. Polanco,3,0,1,0,0,0,0,.324,.372,.649
M. Garver,2,0,0,0,0,0,0,.197,.346,.258
J. Rodriguez,4,1,2,0,0,0,0,.236,.318,.408
C. Raleigh,3,2,1,2,1,1,1,.250,.371,.571
R. Arozarena,4,0,1,0,0,0,2,.236,.382,.410
R. Tellez,2,1,1,2,1,0,0,.194,.248,.452
D. Solano,2,0,0,0,0,0,1,.133,.145,.150
L. Taveras,4,0,0,0,0,0,1,.143,.167,.179
M. Mastrobuoni,2,0,0,0,0,0,1,.205,.276,.244
D. Moore,2,0,1,0,0,0,1,.290,.346,.538
B. Williamson,3,0,1,0,0,1,2,.237,.267,.309
