player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
M. Yastrzemski,5,2,3,0,0,0,0,.276,.374,.449
W. Adames,5,1,1,0,0,0,3,.217,.297,.335
J. Lee,4,1,1,1,0,0,0,.286,.333,.461
M. Chapman,4,1,2,0,0,1,1,.225,.360,.437
H. Ramos,2,1,2,4,1,1,0,.278,.347,.483
L. Wade Jr.,3,0,0,0,0,1,2,.145,.246,.245
H. Birdsong,0,0,0,0,0,0,0,.000,.000,.000
T. Rogers,0,0,0,0,0,0,0,.000,.000,.000
D. Villar,1,0,0,1,0,0,0,.214,.353,.286
L. Matos,3,0,0,0,0,0,0,.185,.228,.389
W. Flores,1,0,0,0,0,1,1,.243,.298,.407
R. Walker,0,0,0,0,0,0,0,.000,.000,.000
S. Huff,3,0,0,0,0,0,2,.189,.244,.297
P. Bailey,1,0,0,0,0,0,0,.181,.219,.257
B. Wisely,3,0,0,0,0,0,0,.000,.000,.000
C. Koss,1,0,0,0,0,0,1,.213,.275,.213
