player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
L. Nootbaar,3,0,1,0,0,2,0,.275,.403,.412
J. Walker,4,0,0,0,0,0,2,.256,.347,.326
B. Donovan,4,0,1,0,0,0,2,.365,.404,.538
N. Arenado,3,0,0,0,0,1,1,.289,.407,.422
A. Burleson,2,0,1,1,0,2,0,.286,.348,.357
A. Pallante,0,0,0,0,0,0,0,.000,.000,.000
P. Pages,3,0,1,0,0,0,1,.290,.290,.484
L. Baker,1,0,0,0,0,0,0,.286,.412,.357
P. Maton,0,0,0,0,0,0,0,.000,.000,.000
R. Helsley,0,0,0,0,0,0,0,.000,.000,.000
V. Scott,4,0,0,0,0,0,2,.261,.327,.413
T. Saggese,4,1,2,0,0,0,2,.467,.438,.667
M. Winn,0,0,0,0,0,0,0,.222,.314,.289
Y. Pozo,4,1,3,1,0,0,0,.500,.500,1.000
