player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
L. Nootbaar,3,2,2,1,1,2,1,.462,.632,.923
W. Contreras,4,0,0,0,0,0,3,.000,.000,.000
L. Baker,4,0,2,0,0,1,1,.500,.600,.500
N. Arenado,4,0,1,1,0,1,0,.400,.500,.733
I. Herrera,3,0,0,0,0,0,1,.400,.455,.600
P. Pages,2,1,0,0,0,0,0,.500,.500,1.167
B. Donovan,5,1,1,1,1,0,0,.313,.333,.500
J. Walker,4,0,2,0,0,0,1,.444,.583,.444
A. Burleson,1,0,1,0,0,0,0,.250,.308,.333
M. Siani,0,0,0,0,0,0,0,.000,.000,.000
V. Scott,3,0,2,1,0,1,0,.333,.353,.600
M. Winn,5,0,0,0,0,0,2,.000,.125,.000
