player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
L. Nootbaar,4,2,2,1,0,0,1,.258,.364,.425
M. Winn,4,1,2,0,0,0,0,.267,.358,.427
B. Donovan,5,2,3,1,0,0,0,.337,.392,.475
Y. Pozo,0,0,0,0,0,0,0,.348,.362,.478
W. Contreras,4,1,1,1,0,0,1,.249,.330,.401
N. Gorman,1,0,0,0,0,0,0,.171,.283,.276
I. Herrera,5,2,2,2,0,0,0,.426,.484,.815
N. Arenado,4,0,0,1,0,0,0,.241,.316,.371
J. Barrero,1,0,0,0,0,0,0,.176,.222,.412
A. Burleson,2,0,2,0,0,1,0,.285,.333,.423
J. Walker,1,1,1,2,0,0,0,.195,.260,.286
P. Pages,4,1,1,2,1,0,1,.233,.268,.379
V. Scott,3,1,2,0,0,1,0,.271,.344,.375
