player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
Y. Diaz,6,0,3,3,0,0,1,.230,.271,.380
J. Caminero,5,0,1,0,0,1,0,.253,.298,.460
B. Lowe,6,0,0,0,0,0,3,.217,.241,.325
C. Morel,5,2,2,1,1,0,1,.258,.329,.409
C. Mead,3,0,0,0,0,0,0,.125,.243,.156
T. Walls,2,0,1,0,0,0,1,.169,.265,.169
J. Mangum,2,0,0,0,0,0,0,.338,.384,.397
C. Simpson,3,1,1,1,0,0,0,.333,.333,.400
K. Misner,5,2,3,1,0,0,0,.373,.409,.678
D. Jansen,2,1,1,0,0,1,0,.140,.283,.240
J. Aranda,1,1,0,0,0,1,1,.338,.443,.646
J. Caballero,4,0,1,1,0,0,3,.273,.373,.455
B. Rortvedt,1,0,0,0,0,0,0,.080,.233,.080
