player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
K. Pillar,3,1,1,0,0,0,0,.308,.308,.385
D. Harris,1,0,0,0,0,0,1,.286,.318,.524
W. Langford,3,1,1,1,1,1,2,.294,.393,.667
J. Jung,4,0,1,0,0,0,0,.259,.271,.431
A. García,4,0,0,1,0,0,1,.217,.283,.434
M. Semien,4,0,0,0,0,0,2,.153,.221,.235
J. Burger,3,0,0,0,0,0,1,.178,.221,.329
J. Pederson,1,0,1,0,0,0,0,.068,.154,.102
J. Heim,4,0,1,0,0,0,2,.245,.298,.453
K. Higashioka,3,0,2,0,0,0,1,.279,.311,.419
N. Ahmed,2,0,0,0,0,0,1,.000,.000,.000
J. Smith,1,0,0,0,0,0,0,.360,.448,.560
