player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
S. Haggerty,3,1,1,0,0,0,0,.300,.300,.300
E. Carter,0,0,0,0,0,0,0,.240,.296,.360
W. Langford,4,1,1,0,0,0,0,.254,.340,.475
J. Jung,4,2,3,4,2,0,0,.282,.315,.492
A. García,4,0,1,0,0,0,0,.221,.268,.383
M. Semien,3,0,1,0,0,1,1,.179,.263,.245
J. Heim,4,0,0,0,0,0,2,.257,.311,.407
J. Burger,3,0,1,0,0,1,2,.198,.243,.330
K. Higashioka,2,0,0,0,0,0,0,.246,.270,.377
J. Pederson,1,0,0,0,0,1,0,.126,.244,.223
E. Duran,2,0,0,0,0,0,1,.120,.148,.160
J. Smith,2,0,0,0,0,0,0,.310,.389,.466
