player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Bichette,4,0,1,0,0,1,2,.288,.348,.356
A. Gimenez,5,1,0,0,0,0,3,.224,.339,.449
A. Santander,5,0,1,0,0,0,3,.185,.290,.204
G. Springer,4,0,1,1,0,0,0,.429,.479,.690
W. Wagner,4,1,0,0,0,1,2,.235,.333,.294
E. Clement,3,0,0,0,0,0,0,.097,.194,.129
D. Schneider,0,0,0,0,0,1,0,.000,.235,.000
A. Roden,2,0,1,0,0,0,1,.229,.317,.286
M. Straw,2,1,1,0,0,0,0,.350,.381,.450
T. Heineman,4,0,3,1,0,0,0,.500,.526,.722
N. Lukes,1,0,0,0,0,0,0,.158,.273,.158
V. Guerrero Jr.,2,0,0,1,0,0,0,.278,.355,.333
