player,ab,r,h,rbi,hr,bb,k,avg,obp,slg
B. Bichette,4,0,0,0,0,0,1,.368,.455,.474
V. Guerrero Jr.,4,0,1,1,0,0,0,.263,.318,.368
A. Santander,4,0,0,0,0,0,0,.158,.273,.158
A. Gimenez,2,3,2,1,1,1,0,.333,.455,.944
A. Kirk,4,1,2,1,0,0,0,.267,.250,.333
G. Springer,4,0,2,1,0,0,2,.400,.471,.533
W. Wagner,2,0,1,0,0,0,0,.333,.333,.467
E. Clement,1,0,1,0,0,1,0,.222,.300,.333
N. Lukes,2,0,0,1,0,0,0,.143,.333,.143
D. Schneider,1,0,0,0,0,1,0,.000,.333,.000
M. Straw,0,0,0,0,0,0,0,.000,.000,.000
A. Roden,4,1,1,0,0,0,0,.214,.250,.286
